Close,High,Low,Open,Volume,Daily_return,MA20,MA50,RSI,Volume_MA20,Target
150.9463653564453,151.20288685726504,147.9173671829065,149.1704067412566,77167900,0.002621380487641156,148.29773864746093,142.7456898498535,56.553449588154386,61464735.0,1
153.76815795898438,154.3700101664544,149.6143886164517,150.1274466592856,76161100,0.01869400827158496,148.32339172363282,143.35682907104493,66.58200728040794,61994100.0,0
152.9295196533203,154.64628226147335,152.21913616408204,153.99509488717774,98944600,-0.005453913975400293,148.38702926635742,143.92577880859375,63.014708056339565,63532935.0,1
155.29747009277344,155.7118730486912,152.09088307007352,152.99860710640667,73641400,0.015483933022356178,148.62628860473632,144.5684893798828,67.17083808707616,64257800.0,1
157.15237426757812,157.2707665184009,154.44896911905354,155.21856391429898,73938300,0.011944200853346798,149.15907669067383,145.15766510009766,74.19478911711121,65011355.0,0
155.72174072265625,159.97416620924432,155.7020036632039,157.17210596561782,75701800,-0.00910348031068231,149.5991180419922,145.70778594970704,70.05391560732204,66245880.0,1
156.8070526123047,159.39206566084016,155.57374974438574,156.70839741585115,67622100,0.006969559193288344,150.06925354003906,146.2681851196289,65.36973784610645,67207275.0,1
158.10939025878906,158.1981844310787,155.74145533462084,156.73795839634036,59196500,0.00830535122488607,150.73721008300782,146.80025177001954,63.2535648082816,67393620.0,0
156.16571044921875,158.62245469903792,155.76118357485748,157.8035399490982,52390300,-0.012293259789244337,151.24829025268554,147.29502044677736,63.93992752678372,67763210.0,0
155.54412841796875,156.37291926303735,153.89643783944095,155.85986113132142,45992200,-0.003980272170260646,151.75345001220703,147.75075897216797,60.24875984826379,67535470.0,1
158.62245178222656,158.8987103608656,157.22142183199622,157.241143834068,51305700,0.0197906754537589,152.51612548828126,148.24481475830078,71.06790697198046,67326805.0,1
160.19119262695312,160.29972384705454,159.11575648092384,159.3722779761809,49501700,0.009889778067989408,153.32763748168946,148.78462860107422,79.289937347413,67189985.0,1
162.69729614257812,162.7959663866168,159.74724553838644,160.27016471086742,68749800,0.015644452572752376,154.01187438964843,149.37338195800783,79.77717850931083,67090860.0,1
163.9503173828125,164.06870961825848,162.02636828199599,162.07570339841976,56976200,0.007701549257071338,154.62063293457032,149.93596954345702,79.04195300453841,65561770.0,0
163.4175567626953,164.61138542575975,162.9044985896194,164.37460092662135,46278300,-0.003249524786665847,155.31276321411133,150.42406402587892,76.8708730982224,65066585.0,0
161.57247924804688,162.84525578594236,159.63866946956193,162.53939919225064,51511700,-0.011290570922729781,155.8499885559082,150.84727935791017,67.55431753344993,65281930.0,1
162.46047973632812,162.75647535534287,159.83600833200663,160.26025717712315,45390100,0.005495988502584037,156.5440902709961,151.30145538330078,71.39055874534859,64859755.0,0
159.86561584472656,159.86561584472656,157.94166678976978,159.26376357061562,47716900,-0.015972277662930745,157.21155242919923,151.6623583984375,60.14902604226698,63816980.0,0
158.65203857421875,160.191197704471,158.36590395989919,160.18133670413533,47644200,-0.007591233825330668,157.72115249633788,151.96017639160155,53.42952654793144,61976335.0,0
157.96139526367188,159.8952052146149,157.64566258721274,159.0664295213536,50133100,-0.0043531953119139155,158.09163665771484,152.30190948486327,55.30120255651611,60798195.0,1
163.3484649658203,163.58526449148977,159.26376724154565,159.47096870837692,68445600,0.03410371055001282,158.71174163818358,152.72596740722656,62.86373914963897,60362080.0,0
163.003173828125,164.09834733508953,161.6317416937249,162.39144539168964,49386500,-0.0021138315426935117,159.17349243164062,153.12065856933594,60.00007483242215,59023350.0,1
163.02285766601562,163.18072400329442,161.83889024634973,162.88472838463733,41516200,0.0001207573903523329,159.67815933227538,153.40954498291015,65.20786576170971,56151930.0,1
164.2462921142578,165.17373798707087,163.43723846181683,163.88123939813596,49923000,0.007504680421862364,160.1256004333496,153.65039459228515,68.7979379472423,54966010.0,1
165.39085388183594,165.91377309743532,163.32876002913073,163.5852966627984,47720200,0.006968569900999144,160.5375244140625,153.96871185302734,65.95355789510029,53655105.0,0
164.42393493652344,165.6276397590989,163.34849843183505,163.8714176517282,52456400,-0.005846266118217924,160.97263412475587,154.21015838623046,60.26815955130545,52492835.0,0
162.815673828125,164.22656472043278,162.2927547507698,162.84527188495923,58337300,-0.009781186109061979,161.27306518554687,154.47322875976562,50.300250324710014,52028595.0,1
163.12156677246094,163.38796439824753,161.7007995082206,162.79597301982534,41949600,0.0018787684081253975,161.52367401123047,154.76310485839844,47.79188698468351,51166250.0,0
161.58238220214844,164.08844653165775,161.54290808705858,162.98341218856248,48714100,-0.009435812815968836,161.79450759887695,155.0148959350586,45.35926618758335,50982440.0,0
161.57247924804688,163.07217921755856,160.6253114130636,160.88183289858796,45498800,-6.128733817756249e-05,162.09592514038087,155.21044799804687,50.0,50957770.0,1
166.16041564941406,166.30840595665688,162.98342657757053,162.98342657757053,64902300,0.02839553135979167,162.47282333374022,155.51058471679687,58.549932758210936,51637600.0,1
167.4134521484375,167.58119458170708,165.6375081170057,166.23936050031372,55275900,0.0075411252079873314,162.83393630981445,155.7937518310547,68.59494811962297,51926310.0,0
167.32464599609375,168.17315888477142,166.38733892318547,167.01878932487827,52472900,-0.0005304600747675359,163.06530380249023,156.107109375,72.61952329177963,51112465.0,0
166.28868103027344,168.07451617943886,165.30203876342605,167.81797955488014,48425700,-0.006191347124347102,163.18222198486328,156.42263732910158,71.33456919758217,50684940.0,0
165.21322631835938,168.63687581044152,164.92710671677185,167.23584575291258,65136000,-0.006467395767714823,163.2720054626465,156.79696960449218,56.132336308284266,51627825.0,0
